Age,Tenure,MonthlyCharge,TotalCharge,ContractType,InternetService,Churn
59,20,63.2497878330132,7808.590309768125,One year,Fiber optic,Yes
62,11,51.181613308525954,1021.890713805974,Two year,Fiber optic,No
23,38,70.61418628402441,155.2423658188563,Month-to-month,No,No
45,6,63.95116886329101,6165.862529821626,One year,No,No
45,23,30.566468426174392,6461.101188171763,Month-to-month,DSL,No
61,47,84.08263146902063,979.2536883821984,One year,Fiber optic,Yes
61,46,41.60381825095996,2139.3510070096763,One year,DSL,Yes
37,12,81.95879548978296,160.0678596656987,One year,No,No
47,13,85.02010923981534,2360.602714028906,Month-to-month,DSL,Yes
28,62,35.20248531286481,6189.672153870999,Two year,DSL,No
45,60,26.134962711066816,4153.32501114638,Month-to-month,No,No
42,43,98.07615860684398,2797.802833482939,One year,Fiber optic,Yes
56,68,65.98004237693202,2986.4795733525157,Month-to-month,DSL,Yes
50,5,25.81637955054758,30.80193320943587,Two year,No,No
18,37,119.48663171697672,2412.4082099705824,Month-to-month,Fiber optic,No
44,31,25.778056099636665,5178.740758270686,Two year,No,Yes
69,9,89.50352288585532,7794.07166165453,Two year,DSL,No
30,51,118.36789252634136,6779.545399331518,Month-to-month,Fiber optic,No
58,29,43.91801042159256,208.28781787132243,One year,Fiber optic,Yes
20,40,34.22493686871962,7190.513625305218,Two year,No,No
56,41,32.13849394224289,6269.923338123035,Month-to-month,No,No
23,11,50.327514756759555,6247.401466096424,Two year,No,No
25,23,30.104581101064667,3674.8061568485004,One year,Fiber optic,No
44,1,89.2161341694132,3196.0822377769323,Month-to-month,Fiber optic,No
26,46,26.22917981300627,2437.267516088877,Month-to-month,DSL,No
54,21,70.94221281497897,544.2449744558389,Month-to-month,Fiber optic,Yes
50,36,119.66968538529768,1841.3182006797188,One year,DSL,Yes
68,54,101.39702695060188,1987.8970071246365,Two year,No,No
59,57,81.52194382310108,3882.935016287409,Month-to-month,No,No
61,1,50.62536207866117,5984.606364641618,Two year,Fiber optic,No
41,63,82.38958362916384,3801.002430615614,Two year,No,No
32,54,72.70414639116515,481.59870658834166,One year,No,No
49,55,62.60833838903715,7663.162611885867,Month-to-month,Fiber optic,No
49,40,33.07103767401995,7542.940066371016,Two year,DSL,No
41,15,108.66042152404667,6285.812554324299,Month-to-month,Fiber optic,No
58,21,64.97846488213224,7930.79665448248,Month-to-month,DSL,Yes
69,47,39.46225118207651,4364.969015746098,One year,Fiber optic,Yes
66,53,56.77593508772896,7702.891435020584,Month-to-month,Fiber optic,No
66,9,61.4129752528927,623.3282241216712,Month-to-month,No,Yes
69,52,102.75378955668742,2938.1323711257432,Two year,Fiber optic,No
29,57,93.3614380561402,1818.5425186939913,One year,Fiber optic,No
56,26,96.93048936413398,1582.7480113914748,Month-to-month,DSL,No
19,41,21.10312644286472,1143.607532163555,Two year,No,Yes
20,35,61.615399817976154,4986.860859696653,One year,DSL,No
66,63,68.13441516353237,6254.9484088634945,One year,DSL,No
54,25,21.919227682305667,4634.821227374478,Two year,No,No
66,38,45.981320874503425,1192.7624225139132,Two year,No,No
34,2,96.0289823122135,6492.767684069097,Two year,No,No
66,7,33.7109705728999,5094.918563166553,Two year,Fiber optic,No
19,34,73.53101314525917,3117.562334893424,Two year,No,No
19,17,41.52018720172375,5399.559758377783,Month-to-month,No,Yes
45,43,21.212077464389328,2094.041734357806,Month-to-month,No,Yes
40,59,44.12014575995415,2774.6338237838,One year,DSL,No
54,51,117.58737549100537,7341.537028193282,Month-to-month,DSL,No
49,54,100.15371118829896,2338.225955257935,Month-to-month,Fiber optic,No
50,24,115.95766443210334,3770.506379900334,Month-to-month,DSL,No
18,25,68.78540439263625,7123.326276420197,Two year,Fiber optic,No
36,71,30.97361986775035,5667.6163751348695,One year,DSL,No
19,52,74.7959488973693,516.3817447943279,One year,No,No
61,70,65.4377334559961,1195.4782933461834,One year,DSL,No
43,33,104.4357082739616,82.57589435989621,One year,Fiber optic,No
49,49,29.80825807842446,5054.755886028724,Month-to-month,DSL,No
23,29,68.82411370217781,3592.4339347751384,Month-to-month,No,No
49,63,35.00486646939842,1091.5133102001587,Two year,Fiber optic,Yes
21,22,52.467592689006,7664.314286033028,One year,No,Yes
28,26,93.73570773877996,4246.684597086047,Month-to-month,No,No
34,28,67.60181293687666,1950.3084870208556,Month-to-month,Fiber optic,No
55,49,57.58882851457693,4014.8164978145664,Two year,No,No
41,71,59.44762785700353,5443.37025522616,Two year,No,No
22,49,65.94467684059866,628.3889594290446,Two year,DSL,No
69,20,98.50165438370568,2212.136444082178,Month-to-month,No,No
51,63,109.20846889402344,6459.584617254269,Month-to-month,No,No
23,61,115.53346865039283,3688.1256658132365,Two year,No,No
39,49,98.6903386255295,4381.685593417714,One year,No,Yes
28,71,51.54068957480128,3473.8716976315645,Two year,Fiber optic,No
65,1,88.81347060865421,370.32154229118083,Two year,DSL,No
33,13,63.760312405539196,1342.6832429648443,Two year,No,No
50,51,45.467062204605114,3575.4222771602895,Two year,No,No
26,56,104.08715794259226,1689.300013955264,Month-to-month,Fiber optic,No
23,62,23.8426348962325,418.8326487042363,One year,No,No
33,32,110.17619921354235,6752.324319133553,Two year,Fiber optic,No
46,30,66.1477464624734,7849.916382729644,One year,DSL,No
20,29,83.72014768082803,6349.280134493981,One year,DSL,No
37,49,85.93539222057827,6833.203675203243,One year,No,No
53,45,109.51177407065364,1950.977499930022,Two year,No,Yes
36,30,83.66696821672073,7685.803264595334,Month-to-month,No,No
43,16,81.39335847600617,1591.4671215383585,Two year,Fiber optic,Yes
20,40,26.665204056068994,7612.409886687422,One year,No,Yes
36,19,71.8408021945204,7958.65796584829,One year,No,No
37,18,35.016900081704165,5699.547989853469,Month-to-month,DSL,Yes
49,1,93.74337687214856,7849.526979698739,Two year,No,Yes
24,47,71.22219208126745,4564.927440945487,One year,DSL,No
69,66,88.02277792083532,2091.143429745201,Month-to-month,No,Yes
58,38,24.16729006023843,3507.2271676116543,One year,DSL,Yes
50,51,28.47920160458032,4756.616264322712,Month-to-month,No,No
57,63,91.63233880626822,603.1908649755796,Month-to-month,DSL,Yes
56,4,27.208433599867337,4986.299251645624,Two year,Fiber optic,No
35,1,27.12567277652586,7849.79913736311,One year,DSL,Yes
57,8,21.210847523488745,1537.0590452741465,Two year,DSL,No
18,29,115.65013982994802,6344.909027981299,One year,DSL,No
28,55,93.75083594590069,7265.032374361363,Two year,No,No
45,3,55.32514085020642,7550.738710705362,One year,No,No
42,32,49.653558128765525,7681.882123155468,Two year,No,No
67,10,54.97032297458495,4181.247916997346,Month-to-month,Fiber optic,No
40,34,97.46535311811819,7818.9171057722,One year,Fiber optic,Yes
48,55,86.13706110704143,6063.335452932822,One year,DSL,No
47,32,38.51955678674679,1310.138061170956,Month-to-month,Fiber optic,No
59,50,37.41093353340844,3825.6628496144003,Two year,DSL,No
52,7,29.839564971339733,5752.282779468592,One year,DSL,Yes
24,8,86.03027197013381,1993.775720236285,One year,DSL,No
33,65,96.43726622217359,5132.109164720121,Two year,Fiber optic,No
43,57,46.5046428325004,5339.471822792021,Month-to-month,No,Yes
65,67,22.09449610309128,1318.3439555923558,Two year,Fiber optic,No
69,59,28.217166747642736,4529.380793372995,Two year,DSL,Yes
66,54,116.78600348450304,6177.58274960929,Two year,DSL,No
19,67,49.54447774774202,4001.1874029968167,One year,Fiber optic,No
18,51,96.92231478381336,116.58287187333725,Month-to-month,DSL,No
65,8,82.46635688542638,92.12698325275157,Month-to-month,DSL,No
29,34,58.19396396528959,2869.094164880697,Two year,Fiber optic,No
22,35,40.568726219555515,7411.02866608562,One year,Fiber optic,No
54,32,32.138641815940645,1844.840701236798,Two year,Fiber optic,No
49,46,81.50129680388666,5082.222237196063,One year,DSL,No
26,16,97.4633780637788,1792.1654481326982,One year,DSL,No
58,68,84.39042535411306,2586.926517483198,One year,No,Yes
52,37,73.03021332491583,6787.375875019842,One year,No,No
36,54,24.195122343163625,5836.314309314176,Month-to-month,Fiber optic,Yes
65,14,116.84887775943838,781.2862329594208,One year,No,No
33,55,99.87141916545745,3441.04212747174,One year,DSL,No
20,48,49.28220367009648,252.77471388921046,Two year,No,No
37,7,117.99703293588506,3857.503369892012,Two year,DSL,No
41,7,80.18815896363222,5306.223413374523,Month-to-month,Fiber optic,Yes
50,33,78.24226582072464,965.6509363132494,Two year,Fiber optic,No
41,23,94.8073179429532,2325.301812495142,One year,DSL,No
69,19,101.17697880901376,3194.736271507212,Two year,No,Yes
28,19,85.64786073315027,7357.857576755277,Month-to-month,Fiber optic,No
66,36,32.80957463662,7946.175023075253,Two year,Fiber optic,No
25,29,53.82675059944984,378.3921659850145,Two year,No,No
53,60,112.80836403260497,6092.843229493228,Month-to-month,No,No
55,2,42.46156118438519,2986.358049890699,Month-to-month,DSL,No
57,1,57.21670238375133,3151.816326111251,One year,No,No
37,47,63.2076882944196,6039.034487309241,Two year,No,Yes
52,69,63.940498969445215,7349.042928520361,One year,No,No
65,20,81.29395824945254,7608.410184130336,Two year,DSL,No
42,11,114.30758377447076,4625.4382365858,Two year,DSL,Yes
52,2,44.06927118325049,2869.8268512180125,One year,Fiber optic,No
42,67,32.150137630091805,6304.641705153059,Two year,DSL,No
46,12,39.74704898599373,2022.991038433156,Two year,Fiber optic,No
35,20,108.69249002092695,4521.310750091472,Two year,No,No
63,5,84.5810812655206,2881.4561229684878,Month-to-month,Fiber optic,Yes
35,37,48.590678923916016,5259.915968188851,One year,Fiber optic,No
19,38,101.59469389686173,1938.3833248901851,Month-to-month,No,Yes
52,9,106.1369996363436,1548.9117069639096,One year,Fiber optic,No
33,53,104.6514338690278,7347.547911669988,One year,DSL,No
58,44,111.89265336395545,832.3933899373045,Two year,DSL,No
53,24,45.22410201733616,4057.5441037247547,One year,DSL,Yes
50,30,95.50419287462783,1782.4052080448112,Month-to-month,DSL,No
21,59,66.053949727414,330.66110733882624,Month-to-month,Fiber optic,No
50,14,104.19985528900615,307.4301699655826,Month-to-month,Fiber optic,Yes
31,9,92.84906771616131,1418.2697414045022,One year,No,No
38,40,97.64474464997247,6936.827428957882,Month-to-month,Fiber optic,No
65,66,85.61618376810715,2274.180376936673,One year,Fiber optic,No
37,25,37.74287694697068,7604.66418119086,Month-to-month,Fiber optic,Yes
25,22,74.50269188969384,4661.345898053764,Month-to-month,No,Yes
24,4,118.46697395245081,3504.1812343547535,One year,DSL,No
20,26,113.73880664971189,4649.108900662248,Month-to-month,Fiber optic,No
34,58,24.31737357970117,4143.253114105617,Two year,No,Yes
50,29,36.481481572943714,6075.034504983455,One year,No,Yes
65,37,33.17287734545619,2274.318606463361,One year,No,No
29,70,92.59799099852955,2837.342124970413,One year,DSL,No
68,18,101.77853298569451,7154.872534215341,Two year,Fiber optic,Yes
39,42,41.35113663106719,7572.722974940236,One year,No,No
39,41,70.5852692951829,7142.614655342067,Month-to-month,DSL,No
63,38,104.07030280112,3367.194991779362,Month-to-month,No,Yes
47,34,93.28015447662506,6247.3167139949155,Month-to-month,No,No
55,17,74.22372054918483,3821.1591517427682,One year,No,No
55,37,79.03476904587728,3990.3680201258953,Month-to-month,No,No
62,25,70.836054691628,1653.347270277126,One year,No,No
68,27,49.75484513188206,4737.219820002962,Month-to-month,DSL,No
25,57,76.50219928590161,1505.3644640717166,Two year,Fiber optic,No
44,31,88.88853020500906,2665.8862985562064,Two year,Fiber optic,No
44,6,107.33229158608077,6843.141008927082,Two year,Fiber optic,No
51,40,83.62913539792481,1672.4649575026247,Two year,Fiber optic,No
38,12,96.1121537043158,587.8431156839938,One year,DSL,Yes
47,53,36.0071634954573,570.6805890502741,Month-to-month,DSL,Yes
50,71,66.15574744197899,7527.460473614801,Two year,DSL,No
45,10,20.93316198270933,4065.22509493544,One year,No,No
64,45,44.66788645216231,3287.1083330998063,Two year,No,Yes
50,17,92.64617151130048,6490.811076443189,Two year,No,No
22,26,119.18099513493634,6689.890904725918,One year,Fiber optic,No
65,62,29.91780995872159,2670.8844442625245,One year,No,No
36,46,60.14943158612883,5555.072098640886,Month-to-month,Fiber optic,Yes
21,64,100.00709686991596,6173.560070498055,Month-to-month,No,No
52,2,40.403563462889885,5244.112481190317,Two year,Fiber optic,No
66,54,75.50849493022862,1229.728696904793,Two year,No,No
34,65,93.30712960296748,7009.547006466115,Month-to-month,No,No
61,51,81.5985450260179,4321.9745308333495,Month-to-month,DSL,Yes
45,53,38.80247346154161,2274.1299624326293,One year,No,No
47,36,55.538456868573945,3413.3209197927977,Month-to-month,No,No
46,26,98.37917844853972,319.8173013832809,Month-to-month,DSL,Yes
63,29,75.42265141320166,1040.377073754892,Two year,Fiber optic,No
23,21,20.522961354291272,6129.06306911657,Month-to-month,DSL,No
52,11,96.09907600280938,20.092845347821807,Two year,DSL,Yes
58,40,23.531135494023907,3344.1953112886918,Month-to-month,Fiber optic,No
54,11,94.57337827312321,4189.631245062996,One year,No,Yes
41,36,40.24805601652374,455.9826716077589,Month-to-month,Fiber optic,No
46,59,115.80734801193802,7785.163740519216,Month-to-month,No,No
66,39,56.79407513020845,1824.4801433723821,Month-to-month,No,No
63,54,52.69316163380791,2447.505782697521,Two year,Fiber optic,No
48,55,34.888805033244466,2445.461247795118,One year,DSL,No
52,24,50.560421549021484,1858.7249636964523,Month-to-month,Fiber optic,No
50,22,107.66507618282006,31.7611002487651,Two year,No,No
69,69,119.63343376272474,5840.1714568222105,One year,Fiber optic,No
38,56,56.83095305068483,7735.427088398297,Two year,Fiber optic,No
49,33,64.86106309545426,1809.8619966146596,Two year,No,No
40,36,92.2070938202737,5311.116590591311,One year,DSL,No
50,20,108.61957804650746,5940.332689130547,Month-to-month,Fiber optic,No
20,62,79.30443341867841,6790.434525142387,Two year,No,No
35,26,59.15256981778293,3392.580992168601,Two year,No,No
42,66,61.262184084862376,2437.3886270106254,Month-to-month,Fiber optic,No
59,40,89.56181464968068,2615.855169503788,Month-to-month,DSL,No
48,17,20.321826360427867,5706.718238126133,One year,Fiber optic,No
20,1,81.95893374598407,6537.900142714976,One year,DSL,No
57,61,55.54930104413574,1469.2794626976893,One year,DSL,No
63,43,99.41973312770843,2980.1092450989663,Month-to-month,DSL,Yes
41,42,29.299063982313214,7217.482770058217,Two year,DSL,Yes
67,25,78.82022669483905,6457.414287164019,Two year,Fiber optic,No
49,39,68.09728898861238,7879.170054044557,One year,No,No
64,35,84.23255259052274,6038.9011122630045,Month-to-month,No,Yes
39,3,26.485359448296833,3157.6977042028198,Two year,No,Yes
40,44,77.99837874281313,4733.28991527721,One year,No,Yes
19,51,76.14845879595237,5294.893748893616,Two year,No,No
44,12,76.0660094416171,646.0774142106491,Two year,No,No
59,19,80.34876665964548,4365.085733648843,Month-to-month,Fiber optic,No
19,44,87.64679372263622,5680.3802112114245,Month-to-month,DSL,No
43,59,100.49889996807697,1355.2240059284618,Two year,No,No
34,49,46.98207201282143,6249.441105055946,One year,Fiber optic,No
57,61,102.5049410180062,4678.506788502611,Month-to-month,No,No
50,17,69.82556822634535,7618.729849866805,Two year,No,Yes
26,57,27.70582791343312,358.5299396909957,Month-to-month,DSL,No
60,55,25.85509292439792,2137.3025776926265,Month-to-month,DSL,No
65,47,53.42383186960608,4820.399956812596,Month-to-month,DSL,No
56,12,98.48969771114676,2386.548099403327,Two year,No,Yes
46,62,90.76809347409157,5721.1048292885125,One year,No,Yes
59,8,98.86149646724064,6076.86215452501,One year,No,Yes
43,21,71.72690564416094,838.0773932504661,One year,DSL,No
52,70,64.01989979554907,4120.558624370006,Month-to-month,Fiber optic,No
67,25,34.745252670628396,4080.946633616626,Two year,No,Yes
42,12,52.81927536093116,2966.860546320018,Month-to-month,No,No
41,15,63.40193661738753,7464.740403305984,One year,No,No
30,59,28.860042967961725,6623.500432588306,One year,Fiber optic,Yes
24,26,42.06119527112112,5583.730867638901,Two year,No,No
53,26,79.82252940637389,5720.3265531652805,Month-to-month,Fiber optic,Yes
62,47,93.56631142391899,3704.4948276286905,One year,No,No
37,32,119.83475113929497,7369.536278350675,Two year,Fiber optic,No
18,10,113.31133313435576,5562.871509481217,Month-to-month,No,No
25,16,84.25651995351916,5837.268872013416,Month-to-month,DSL,Yes
63,71,62.1248053294072,6896.293412223015,One year,DSL,No
33,17,83.61773647082327,2207.091282950684,One year,DSL,No
31,23,98.56516180802319,6460.42581285629,Month-to-month,DSL,No
29,26,31.833619092338733,1578.0200115928064,Month-to-month,No,Yes
